Name,Price,Rating,Review Counts,link
"PS3 Controller, PS3 Controller Wireless, PS3 Joystick, CFORWARD Wireless Rechargeable Gamepad Double Vibration Remote Compatible for Playstation 3",$11.99,4.4 out of 5 stars,8,https://www.amazon.com//Controller-CFORWARD-Rechargeable-Compatible-Playstation/dp/B08MPPS4W7/ref=sr_1_30?dchild=1&keywords=ps3&qid=1611572704&sr=8-30
PlayStation 3 500 GB System,N/A,4.4 out of 5 stars,"2,401",https://www.amazon.com//PlayStation-3-500-GB-System/dp/B009DL2TBA/ref=sr_1_31?dchild=1&keywords=ps3&qid=1611572704&sr=8-31
Sony Playstation 3 160GB System,N/A,4.2 out of 5 stars,"2,530",https://www.amazon.com//Sony-Playstation-3-160GB-System-playstation3/dp/B003VUO6H4/ref=sr_1_32?dchild=1&keywords=ps3&qid=1611572704&sr=8-32
PS3 500 GB Grand Theft Auto V Bundle,$799.95,4.6 out of 5 stars,581,https://www.amazon.com//Grand-Theft-Auto-Bundle-PlayStation-3/dp/B00DBKSN8M/ref=sr_1_33?dchild=1&keywords=ps3&qid=1611572704&sr=8-33
Sony PlayStation 3 Slim 320 GB Charcoal Black Console,N/A,4.2 out of 5 stars,"1,067",https://www.amazon.com//Sony-PlayStation-Charcoal-Black-Console-playstation3/dp/B003VUO6LU/ref=sr_1_34?dchild=1&keywords=ps3&qid=1611572704&sr=8-34
PS3 Controller Wireless for Playstation 3 Dual Shock (RedFlash and BlueFlash),$30.99,4.3 out of 5 stars,"2,278",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A01894333LCB05DLZD1BE&url=%2FKolopc-Wireless-Bluetooth-Controller-Double%2Fdp%2FB07NWJX3B7%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dps3%26qid%3D1611572705%26sr%3D8-33-spons%26psc%3D1&qualifier=1611572705&id=5322574907640553&widgetName=sp_atf_next
LION FISH - Remote Wireless Controller (2 Packs) for Nintendo Wii&Wii U Video Game Gamepads(No Motion Plus). (Pink),$34.99,4.2 out of 5 stars,119,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A04313252TDYDSYU4NCU&url=%2FLION-FISH-Wireless-Controller-Nintendo%2Fdp%2FB076WQ57KB%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dps3%26qid%3D1611572705%26sr%3D8-34-spons%26psc%3D1&qualifier=1611572705&id=5322574907640553&widgetName=sp_atf_next
Sony PlayStation 3 250GB Console - Black,N/A,4.2 out of 5 stars,777,https://www.amazon.com//Sony-PlayStation-3-250GB-Console-Black/dp/B00AEX81SG/ref=sr_1_35?dchild=1&keywords=ps3&qid=1611572705&sr=8-35
Sony Playstation 3 80GB Game System BluRay HDMI Console,N/A,3.9 out of 5 stars,309,https://www.amazon.com//Sony-Playstation-System-BluRay-Console-3/dp/B001CSZSBK/ref=sr_1_36?dchild=1&keywords=ps3&qid=1611572705&sr=8-36
PlayStation 3 Slim 120GB (Old Model),N/A,4.4 out of 5 stars,"1,580",https://www.amazon.com//PlayStation-3-Slim-120GB-Old-Model/dp/B002I0J4VQ/ref=sr_1_37?dchild=1&keywords=ps3&qid=1611572705&sr=8-37
